AGE,CITY,EDUC,EXPER,EXPERSQ,FAMINC,FATHEDUC,HOURS,HUSAGE,HUSEDUC,HUSHRS,HUSWAGE,INLF,KIDSGE6,KIDSLT6,LWAGE,MOTHEDUC,MTR,NWIFEINC,REPWAGE,UNEM,WAGE
32,0,12,14,196,16310,7,1610,34,12,2708,4.0288,1,0,1,1.2101536989,12,0.7215,10.9100600000,2.65,5.0,3.3540
30,1,12,5,25,21800,7,1656,30,9,2310,8.4416,1,2,0,0.3285121000,7,0.6615,19.4999800000,2.65,11.0,1.3889
35,0,12,15,225,21040,7,1980,40,12,3072,3.5807,1,3,1,1.5141377449,12,0.6915,12.0399100000,4.04,5.0,4.5455
34,0,12,6,36,7300,7,456,53,10,1920,3.5417,1,3,0,0.0921233200,7,0.7815,6.7999960000,3.25,5.0,1.0965
31,1,14,7,49,27300,14,1568,32,12,2000,10.0000,1,2,1,1.5242722034,12,0.6215,20.1000576019,3.60,9.5,4.5918
54,1,12,33,1089,19495,7,2032,57,11,1040,6.7106,1,0,0,1.5564800000,14,0.6915,9.8590540000,4.70,7.5,4.7421
37,0,16,11,121,21152,7,1440,37,12,2670,3.4277,1,2,0,2.1202595234,14,0.6915,9.1520480000,5.95,5.0,8.3333
54,0,12,35,1225,18900,3,1020,53,8,4120,2.5485,1,0,0,2.0596342087,3,0.6915,10.9000377655,9.98,5.0,7.8431
48,0,12,24,576,20405,7,1458,52,4,1995,4.2206,1,2,0,0.7543364000,7,0.7515,17.3050000000,0.00,3.0,2.1262
39,0,12,21,441,20425,7,1600,43,12,2100,5.7143,1,2,0,1.5448993444,7,0.6915,12.9250000000,4.15,5.0,4.6875
33,0,12,15,225,32300,3,1969,34,12,2450,9.7959,1,1,0,1.4019216299,12,0.5815,24.2999534607,4.30,5.0,4.0630
42,0,11,14,196,28700,7,1960,47,14,2375,8.0000,1,1,0,1.5242722034,14,0.6215,19.7000713348,4.58,5.0,4.5918
30,0,12,0,0,15500,16,240,33,16,2830,5.3004,1,2,1,0.7339532000,16,0.7215,15.0000076294,0.00,5.0,2.0833
43,1,12,14,196,16860,10,997,46,12,3317,4.3413,1,2,0,0.8183691000,10,0.7215,14.6000000000,3.50,7.5,2.2668
43,1,10,6,36,31431,7,1848,45,17,2024,10.8700,1,1,0,1.3028311729,7,0.5815,24.6309146881,3.38,7.5,3.6797
35,1,11,9,81,19180,10,1224,38,12,1694,9.1499,1,3,0,0.2980283797,16,0.7215,17.5310268402,0.00,7.5,1.3472
43,1,12,20,400,18600,7,1400,45,12,2156,6.1224,1,2,0,1.1676095724,10,0.6915,14.0999800000,4.00,7.5,3.2143
39,1,12,6,36,19151,12,640,40,12,2250,6.1498,1,5,0,1.6438393593,12,0.7215,15.8390000000,2.25,7.5,5.1750
45,1,12,23,529,18100,7,2000,51,11,2024,6.9170,1,0,0,0.6931472000,7,0.6915,14.1000000000,2.30,5.0,2.0000
35,0,12,9,81,20300,7,1324,40,10,2123,4.7103,1,4,0,2.0219316483,12,0.6915,10.2999610901,3.94,5.0,7.5529
42,0,16,5,25,30419,16,2215,48,16,4160,3.1310,1,2,0,1.2542475462,10,0.6215,22.6549816132,3.30,7.5,3.5052
30,0,12,11,121,14090,10,1680,35,12,2000,4.0000,1,0,0,1.2729576826,12,0.7215,8.0900480000,3.80,3.0,3.5714
48,1,13,18,324,22679,3,1600,52,17,2420,7.2227,1,0,0,1.1786550000,7,0.6615,17.4790000000,3.26,5.0,3.2500
45,0,12,15,225,12160,7,800,53,17,1150,7.9652,1,0,0,1.1786550000,7,0.7215,9.5600000000,2.20,11.0,3.2500
31,1,12,4,16,12487,7,1955,31,12,2024,4.0884,1,1,1,0.7675587000,12,0.7515,8.2749530000,2.30,5.0,2.1545
43,1,17,21,441,29850,14,660,43,17,1904,14.1810,1,2,0,1.3318117857,16,0.5815,27.3499851227,0.00,9.5,3.7879
59,1,12,31,961,18100,7,525,53,16,2448,6.5359,1,0,0,1.3862943649,3,0.6915,16.0000000000,3.18,9.5,4.0000
32,1,12,9,81,26000,7,1904,33,13,2000,8.5000,1,3,0,1.5532696247,3,0.6615,16.9999828339,6.07,11.0,4.7269
31,0,17,7,49,26100,12,1516,30,17,2390,6.2762,1,0,1,1.9818148613,12,0.6215,15.1000556946,6.00,5.0,7.2559
42,0,12,7,49,17730,12,346,47,10,1920,5.2083,1,0,0,1.7693604231,12,0.7215,15.6999835968,6.39,9.5,5.8671
50,1,11,32,1024,6719,7,1040,53,10,1840,2.7821,1,0,0,0.4308079000,7,0.7515,5.1189600000,0.00,7.5,1.5385
59,1,16,11,121,18550,3,732,57,17,3360,4.9107,1,0,0,0.8997548000,3,0.6915,16.7500114441,2.50,14.0,2.4590
36,0,13,16,256,24600,10,1880,35,13,2284,5.8669,1,2,0,1.7666296959,12,0.6615,13.5999317169,5.20,7.5,5.8511
51,1,12,14,196,23100,14,1680,50,8,1875,7.5200,1,1,0,1.2729576826,7,0.6915,17.1000480652,3.29,5.0,3.5714
45,1,16,27,729,24656,12,2081,47,17,2140,7.5449,1,3,0,1.3367888927,12,0.6615,16.7340488434,4.19,5.0,3.8068
42,0,11,0,0,15897,3,690,44,8,1896,5.5380,1,1,0,0.9017048000,10,0.7515,14.1969776154,0.00,7.5,2.4638
46,1,12,17,289,20320,3,4210,49,16,1040,6.9231,1,0,0,0.8651237000,3,0.6915,10.3199872971,4.63,11.0,2.3753
46,0,10,28,784,21384,3,2205,52,12,2200,5.0000,1,1,0,1.5118471384,10,0.6615,11.3841047287,4.55,11.0,4.5351
51,0,14,24,576,25561,7,1952,58,12,1952,7.3064,1,0,0,1.7260291576,7,0.6215,14.5940780640,5.60,14.0,5.6183
30,1,17,11,121,36550,17,1302,30,17,1560,11.2180,1,0,0,2.6831424236,14,0.5800,17.5004386902,9.53,5.0,14.6310
30,0,12,1,1,15810,12,112,33,16,4030,3.8462,1,2,1,0.9852943000,12,0.7215,15.5099964142,0.00,3.0,2.6786
57,1,12,14,196,25500,9,893,58,12,2570,5.8366,1,0,0,1.3659385443,9,0.6215,21.9999752045,3.50,7.5,3.9194
31,1,16,6,36,24000,16,583,34,16,1530,13.7250,1,2,1,0.9450337000,14,0.6615,22.5000000000,9.98,9.5,2.5729
48,0,12,10,100,22172,3,480,48,8,3149,6.3493,1,2,0,1.5123761892,3,0.6615,19.9940000000,4.65,5.0,4.5375
30,0,12,6,36,17930,7,1900,32,12,2690,5.2528,1,3,0,0.6931472000,12,0.7215,14.1300000000,2.23,5.0,2.0000
34,0,12,4,16,7000,7,576,33,12,3096,1.3075,1,2,0,1.2447884083,12,0.7815,5.0000130000,3.84,3.0,3.4722
48,1,16,10,100,25300,16,2056,53,16,2552,2.7998,1,2,0,0.7011649000,14,0.7215,21.1548976898,0.00,5.0,2.0161
45,0,12,22,484,16212,10,1984,47,11,2040,2.6961,1,0,0,1.5198632479,10,0.7215,7.1419460000,4.82,11.0,4.5716
51,0,12,16,256,22650,7,2640,50,13,2180,7.5688,1,0,0,0.8209686000,7,0.6615,16.6500720978,0.00,3.0,2.2727
30,0,12,6,36,6985,7,240,37,12,1864,3.4077,1,2,0,0.9698315000,12,0.7815,6.3520000000,0.00,14.0,2.6375
46,1,12,12,144,30000,7,1173,46,12,2068,6.5401,1,1,0,0.8285082000,7,0.6915,27.3139476776,2.50,11.0,2.2899
58,1,12,32,1024,18500,3,3640,58,12,2010,7.2139,1,0,0,0.0943096400,7,0.6915,14.5000038147,0.00,9.5,1.0989
37,0,12,15,225,16658,7,340,40,10,2152,6.2732,1,8,0,0.1625439000,12,0.7515,16.2579900000,0.00,5.0,1.1765
52,1,8,17,289,10300,7,500,54,11,1496,5.8824,1,0,0,0.4700036347,7,0.7515,9.5000000000,0.00,5.0,1.6000
52,0,10,34,1156,11000,3,1599,47,4,2100,3.8095,1,0,0,0.6292484403,7,0.7515,7.9999560000,2.80,7.5,1.8762
31,1,16,9,81,19900,12,1830,35,14,1960,6.3776,1,0,0,1.3971601725,12,0.6915,12.5000286102,4.20,7.5,4.0437
55,1,14,37,1369,32500,7,1920,55,15,1985,6.0453,1,0,0,2.2654438019,7,0.6400,14.0000324249,8.75,14.0,9.6354
34,1,17,10,100,37300,17,2052,33,17,2020,8.8119,1,0,0,2.0845410000,17,0.5800,20.8000736237,8.25,7.5,8.0409
55,1,14,35,1225,30018,7,2312,56,16,2178,8.8765,1,0,0,1.5258388519,17,0.5815,19.3851127625,5.58,11.0,4.5990
39,1,12,6,36,12807,7,196,39,12,3684,3.3420,1,2,0,0.7621601000,12,0.7515,12.3869915009,2.50,14.0,2.1429
40,0,14,19,361,39500,3,2500,42,13,5010,3.1836,1,3,0,1.4816045761,14,0.5515,28.5000000000,5.50,7.5,4.4000
43,1,12,10,100,22050,12,1980,47,12,1880,6.9149,1,4,0,1.2628264427,12,0.6915,15.0499086380,3.75,9.5,3.5354
48,1,8,11,121,15500,7,1840,56,8,1904,5.5147,1,0,0,0.9996756000,7,0.7215,10.4999837875,4.80,14.0,2.7174
47,1,12,15,225,13810,7,320,47,12,2083,5.2808,1,0,0,1.8325815201,7,0.7215,11.8100000000,6.25,9.5,6.2500
41,1,12,12,144,11950,7,419,44,12,2125,3.2000,1,4,0,2.4793076515,7,0.7515,6.9500730000,6.30,5.0,11.9330
36,0,8,12,144,19175,12,1880,37,12,1985,5.8791,1,0,0,1.2790153027,12,0.6915,12.4199714661,3.75,7.5,3.5931
46,0,17,14,196,17900,16,72,48,17,2640,6.2500,1,2,0,1.9379355907,12,0.6915,17.4000034332,0.00,7.5,6.9444
34,1,12,11,121,15850,7,120,51,8,2070,7.4879,1,0,0,1.0704528093,12,0.7215,15.4999961853,0.00,5.0,2.9167
41,1,12,9,81,27017,7,1885,48,8,2107,6.9767,1,3,0,1.1239225864,7,0.6915,21.2170429230,2.90,5.0,3.0769
51,0,12,24,576,18900,7,240,54,10,2250,8.0000,1,1,0,1.3217558861,12,0.6915,18.0000000000,0.00,5.0,3.7500
33,1,12,12,144,21800,12,1729,34,16,2880,4.1319,1,0,0,1.7449997663,12,0.6915,11.8999185562,4.76,7.5,5.7259
52,1,12,13,169,33552,10,1850,53,12,1848,14.4760,1,0,0,1.3017436266,10,0.5515,26.7519550323,3.40,7.5,3.6757
58,1,9,29,841,22650,9,2033,53,7,1927,5.7343,1,0,0,1.6418664455,7,0.6615,12.1499614716,4.32,7.5,5.1648
34,1,10,11,121,15200,0,608,38,9,1304,3.3742,1,4,2,2.1070201397,0,0.7915,10.1999900000,3.00,7.5,8.2237
31,1,12,13,169,13120,10,1153,35,12,3000,1.8333,1,1,0,1.4670675993,7,0.7215,8.1200150000,4.52,7.5,4.3365
48,1,12,19,361,21660,14,2208,52,12,1892,5.6025,1,1,0,1.6058113575,12,0.6615,10.6599645615,5.31,5.0,4.9819
32,0,12,2,4,18190,7,252,32,12,3644,4.2975,1,2,0,-1.0297393799,7,0.7215,18.1000100000,0.00,3.0,0.3571
49,1,17,24,576,9600,3,337,47,17,1430,3.9161,1,0,0,1.0876861811,3,0.7515,8.5999860000,0.00,14.0,2.9674
32,1,15,9,81,13755,12,90,31,14,2350,4.8787,1,2,2,0.0000000000,10,0.7515,13.6650000000,0.00,7.5,1.0000
58,1,12,6,36,35350,12,1174,59,16,1948,9.2402,1,0,0,0.9382087000,7,0.6615,32.3499600000,4.87,7.5,2.5554
50,1,6,22,484,12405,7,372,42,12,1804,6.6519,1,0,0,-0.1505903751,12,0.7215,12.0850057602,2.25,7.5,0.8602
60,0,14,30,900,12180,17,30,51,12,2326,4.6217,1,0,0,0.0000000000,12,0.7515,12.1500000000,0.00,9.5,1.0000
50,1,12,10,100,22962,3,1800,55,11,1739,9.9741,1,1,0,1.0736705065,7,0.6615,17.6950200000,0.00,7.5,2.9261
56,1,14,6,36,25700,7,282,57,17,1176,20.9180,1,0,0,1.2658483982,7,0.6215,24.7000000000,2.50,9.5,3.5461
51,0,9,29,841,3305,7,720,55,8,1100,1.9400,1,0,0,0.4863690000,7,0.7915,2.1339920000,2.20,3.0,1.6264
54,1,17,29,841,32950,12,1440,58,17,1528,8.8351,1,1,0,2.1202595234,7,0.5815,20.9500484467,6.00,5.0,8.3333
59,1,13,36,1296,17000,7,2100,52,15,2250,4.6667,1,0,0,1.1298525333,7,0.6915,10.5000800000,2.95,5.0,3.0952
46,1,9,19,361,13250,7,1000,47,10,1927,5.1894,1,2,0,0.9932518000,7,0.7515,10.5500000000,2.35,5.0,2.7000
46,1,15,8,64,50750,12,952,47,16,2414,18.7240,1,1,0,1.6586280000,7,0.4415,45.7500000000,0.00,5.0,5.2521
39,0,12,13,169,15632,10,1413,49,8,768,10.4170,1,3,1,0.3474122000,10,0.7715,13.6320400000,2.20,14.0,1.4154
44,1,12,16,256,28316,0,2100,43,14,1984,8.8458,1,2,0,1.5683242083,7,0.6215,18.2389400000,4.85,11.0,4.7986
33,1,12,11,121,17290,12,120,36,12,2246,7.5690,1,0,2,0.5108456000,12,0.7215,17.0899963379,2.37,9.5,1.6667
33,1,12,15,225,33600,10,3000,30,17,3024,4.4507,1,2,1,0.1148454323,10,0.6215,30.2349000000,0.00,7.5,1.1217
48,1,12,6,36,29200,7,1000,52,12,2921,9.3204,1,2,0,-0.6931472000,12,0.6215,28.7000000000,0.00,9.0,0.5000
31,0,12,13,169,19870,7,336,37,17,2045,9.1687,1,4,0,-0.3364522755,7,0.6915,19.6299953461,0.00,11.0,0.7143
45,0,12,22,484,16225,7,1216,44,12,1928,6.4834,1,1,0,1.0282255411,7,0.7215,12.8249425888,2.90,11.0,2.7961
45,1,12,24,576,28600,3,988,44,10,1920,7.8125,1,1,0,1.5806885958,7,0.6915,23.8000000000,4.50,5.0,4.8583
32,1,13,2,4,30800,12,2581,37,17,2280,11.4040,1,2,0,0.5558946000,14,0.5815,26.3000259399,2.60,7.5,1.7435
47,0,12,6,36,25700,7,2030,47,17,2300,5.0870,1,0,0,0.9014207000,7,0.6915,20.6999073029,2.80,3.0,2.4631
34,0,13,2,4,27000,12,413,35,13,2480,6.9758,1,2,0,0.8843046000,12,0.6215,26.0000038147,3.00,3.0,2.4213
37,1,12,2,4,12077,7,782,34,10,1135,5.2863,1,1,0,0.4282046000,12,0.7715,10.8770208359,2.30,9.5,1.5345
36,0,12,14,196,29612,7,1388,39,12,1384,11.5620,1,1,0,1.0584150000,7,0.6615,25.6120624542,1.87,11.0,2.8818
47,1,12,9,81,24479,10,1450,50,14,1848,8.6061,1,2,1,0.8783396000,7,0.6915,20.9889945984,3.00,9.5,2.4069
48,1,16,11,121,79750,14,1720,46,17,2499,12.8050,1,1,0,1.6549082994,14,0.4415,70.7499300000,4.68,7.5,5.2326
42,0,12,9,81,20050,7,800,43,12,2390,6.6946,1,2,0,1.3217558861,12,0.6915,17.0500000000,2.50,11.0,3.7500
33,1,13,6,36,21500,12,360,44,14,2400,8.3333,1,3,0,0.3285121000,10,0.6915,20.9999961853,0.00,11.0,1.3889
46,0,11,19,361,16120,7,2000,53,8,1920,4.1667,1,0,0,1.3862943649,7,0.6915,8.1200000000,4.61,5.0,4.0000
47,0,12,26,676,24686,7,1176,48,13,2301,5.4759,1,3,0,1.1728845835,7,0.7215,20.8859900000,3.35,9.5,3.2313
44,1,12,19,361,24669,10,2058,43,10,1944,5.1440,1,1,0,1.2241871357,7,0.6915,17.6689186096,3.80,9.5,3.4014
36,1,12,3,9,26400,7,900,37,17,2100,11.6670,1,4,0,0.2876570821,7,0.6615,25.2000300000,2.20,7.5,1.3333
31,1,17,7,49,16245,12,215,32,16,1920,7.2917,1,0,2,2.2302618027,12,0.7215,14.2450056076,9.98,7.5,9.3023
55,1,14,28,784,23300,7,2000,55,14,2880,4.8611,1,0,0,1.5040774345,7,0.6615,14.3000000000,4.37,9.5,4.5000
45,1,16,13,169,27200,7,757,48,16,1932,12.1640,1,1,0,1.5311520000,12,0.6215,23.7000100000,4.50,9.5,4.6235
47,1,17,9,81,51000,17,1264,48,17,3234,10.8230,1,0,0,1.3751575947,10,0.4615,45.9999961853,0.00,9.5,3.9557
46,1,12,15,225,55000,7,2064,47,12,2805,12.4780,1,3,0,1.7602688074,10,0.4615,42.9999046326,6.00,14.0,5.8140
49,1,11,20,400,15389,7,1280,52,9,2272,6.1620,1,0,0,-0.6931472000,7,0.7215,14.7490000000,0.00,7.5,0.5000
49,1,12,29,841,23150,7,1715,52,14,2227,7.1846,1,0,0,1.4064891338,7,0.6615,16.1500549316,3.75,9.5,4.0816
45,1,12,9,81,29774,10,2000,49,6,1720,7.0930,1,2,0,1.7917594910,7,0.6215,17.7740000000,4.95,14.0,6.0000
38,1,17,1,1,91044,10,12,38,13,2300,17.8260,1,3,1,1.2992920876,12,0.4415,91.0000000000,0.00,14.0,3.6667
47,1,10,8,64,28200,12,1528,50,12,3410,6.3930,1,0,0,1.3510038853,7,0.5815,22.2999343872,2.95,14.0,3.8613
54,1,13,19,361,36150,7,561,57,16,2304,11.7190,1,3,0,1.0162808895,7,0.5515,34.6000137329,2.53,9.5,2.7629
41,0,11,23,529,15652,12,2058,42,12,1984,4.7883,1,0,0,1.0753436089,12,0.7215,9.6200020000,2.90,7.5,2.9310
43,0,12,3,9,18900,7,1823,33,14,1890,4.2328,1,2,0,1.4789646864,14,0.7515,10.8999462128,4.20,11.0,4.3884
31,0,16,13,169,23600,10,1680,32,12,1970,7.1066,1,1,1,1.6894867420,12,0.6615,14.4999437332,4.70,7.5,5.4167
47,1,17,8,64,36200,7,1440,46,12,2400,8.3333,1,0,0,2.2885978222,7,0.6100,22.0000152588,7.10,7.5,9.8611
35,0,12,17,289,18700,10,4950,37,12,2504,6.9888,1,2,0,-1.8226311207,10,0.6915,17.9000800000,2.75,7.5,0.1616
45,1,16,4,16,24125,7,1176,48,17,2398,9.5913,1,3,0,-0.9607652000,7,0.6615,23.6750621796,3.75,11.0,0.3826
33,0,12,15,225,15800,7,1100,39,12,1960,6.0204,1,0,1,1.2909941673,7,0.7215,11.7999600000,3.58,7.5,3.6364
54,0,16,11,121,19742,7,1516,55,12,2550,2.9686,1,1,0,0.8648711000,12,0.7215,16.1419544220,2.40,3.0,2.3747
35,0,8,7,49,22600,7,900,41,12,2500,7.0000,1,4,0,1.5404521227,10,0.6915,18.3999700000,3.95,9.5,4.6667
31,0,12,0,0,17500,7,1080,37,10,2164,7.1627,1,2,1,0.6162121000,7,0.7215,15.4999475479,2.25,7.5,1.8519
55,0,12,0,0,19820,7,480,60,12,2640,4.7364,1,0,0,1.6486586332,7,0.6915,17.3240000000,0.00,7.5,5.2000
34,1,12,10,100,20155,16,288,36,12,1936,8.7810,1,2,0,1.1934981346,12,0.6915,19.2050037384,4.62,11.0,3.2986
38,1,13,8,64,37300,12,1875,41,12,2136,9.8315,1,1,0,2.1439762115,10,0.5800,21.3000621796,8.50,7.5,8.5333
45,1,11,2,4,24860,7,630,51,10,1955,6.6496,1,1,0,0.7244036000,7,0.7215,23.5599956512,0.00,7.5,2.0635
47,1,12,4,16,21450,3,234,48,10,1980,9.8485,1,1,0,0.9416075000,12,0.6615,20.8500000000,2.50,7.5,2.5641
39,1,12,6,36,29650,7,1600,42,11,2550,9.8039,1,2,0,0.7827594000,7,0.6215,26.1500000000,0.00,5.0,2.1875
36,1,14,18,324,23000,7,960,37,13,2058,8.2604,1,0,1,1.8325815201,7,0.6615,17.0000000000,0.00,11.0,6.2500
33,1,12,3,9,21120,7,120,32,14,2263,9.0676,1,2,1,1.2039628029,7,0.6915,20.7200031281,0.00,9.0,3.3333
50,1,12,22,484,26000,12,2025,54,13,1763,8.5082,1,0,0,1.4916448593,7,0.6215,17.0000900000,4.80,5.0,4.4444
58,1,12,33,1089,28000,7,1809,59,14,2096,7.1565,1,0,0,1.8921326399,3,0.6215,15.9999980927,6.45,7.5,6.6335
49,1,17,28,784,45500,12,3087,47,13,2059,7.0423,1,0,0,2.1308950000,12,0.5200,19.5000500000,9.98,11.0,8.4224
41,1,14,23,529,16000,12,910,40,17,1820,6.5934,1,2,0,1.4806040000,16,0.7215,12.0000038147,0.00,14.0,4.3956
51,0,12,27,729,18232,14,1840,53,8,2832,4.3457,1,1,0,0.8943313000,7,0.6915,13.7319116592,2.50,11.0,2.4457
53,1,9,11,121,28160,7,784,60,10,1990,7.2362,1,0,0,0.2025325447,3,0.7215,27.1999900000,2.25,14.0,1.2245
36,1,12,6,36,5965,7,400,40,7,2000,1.7400,1,2,1,0.4855078000,12,0.8015,5.3150000000,0.00,11.0,1.6250
46,1,12,11,121,19000,7,1000,46,12,1885,6.8966,1,2,0,1.0986123085,7,0.7215,16.0000000000,5.50,9.5,3.0000
36,1,12,14,196,36872,12,1904,37,12,2860,5.0455,1,2,0,1.5532696247,12,0.5515,27.8719825745,4.20,11.0,4.7269
53,1,14,17,289,42000,12,1771,48,16,1913,17.2500,1,1,0,0.1215979680,12,0.4915,40.0000100000,9.98,14.0,1.1293
40,1,16,17,289,26900,14,1486,54,16,1800,8.3333,1,3,0,2.0018043518,16,0.6215,15.9000339508,6.25,11.0,7.4024
42,0,17,14,196,30800,10,740,45,16,2880,9.3750,1,2,0,1.4950366020,12,0.5815,27.4999700000,1.65,9.0,4.4595
33,1,15,11,121,21520,12,1820,32,16,1993,8.2790,1,1,1,0.9052298000,12,0.6915,17.0200500000,0.00,11.0,2.4725
43,1,12,7,49,24795,7,1275,47,14,2250,4.5000,1,3,0,0.6325475574,7,0.6915,22.3949400000,3.00,7.5,1.8824
31,1,16,8,64,12900,16,450,30,16,2286,4.1995,1,0,1,1.3862943649,14,0.7215,11.1000000000,4.00,14.0,4.0000
47,1,17,6,36,42700,7,1221,47,16,1880,16.0640,1,0,0,2.1029138565,7,0.4915,32.7000122070,5.99,7.5,8.1900
54,1,17,8,64,38800,17,1550,58,17,2350,11.2770,1,0,0,1.9596440000,10,0.5215,27.7999600000,6.00,11.0,7.0968
33,0,12,4,16,2500,3,180,33,11,3640,0.5494,1,3,1,0.5108456000,7,0.9415,2.1999940000,0.00,3.0,1.6667
43,1,16,25,625,26921,10,2090,47,14,1770,9.5480,1,0,0,1.2369240000,14,0.6215,19.7209500000,3.85,11.0,3.4450
46,0,13,24,576,18300,9,1960,49,13,1875,5.3333,1,1,0,1.4433125257,7,0.6915,9.9999880000,4.20,3.0,4.2347
35,1,12,11,121,17200,7,1440,38,9,2200,5.4545,1,3,0,1.0216592550,7,0.7215,13.1999683380,4.10,14.0,2.7778
37,1,11,19,361,14209,3,794,39,12,2033,5.9026,1,3,0,0.6361534595,12,0.7515,12.7089748383,3.85,9.5,1.8892
37,1,16,9,81,32300,16,993,39,17,2739,9.8576,1,2,0,1.6164532900,12,0.5815,27.3000469208,8.30,14.0,5.0352
34,1,14,19,361,21400,12,160,38,14,1626,11.6850,1,3,0,0.2231435478,17,0.7215,21.2000000000,0.00,7.5,1.2500
43,0,16,14,196,14700,7,105,44,17,2248,6.2278,1,0,1,1.0498070717,7,0.7215,14.4000043869,0.00,9.5,2.8571
46,1,12,22,484,25516,7,1200,48,12,2140,9.1748,1,0,0,1.4150520000,7,0.6215,20.5759600000,4.33,9.5,4.1167
35,1,9,6,36,13300,7,450,42,12,1985,6.2972,1,3,0,0.5753766000,3,0.7515,12.4999900000,2.60,5.0,1.7778
46,1,17,23,529,31000,12,996,59,17,1528,10.4710,1,0,0,2.6066815853,12,0.5815,17.5002155304,9.98,9.5,13.5540
46,1,14,15,225,48800,3,1052,48,16,1920,14.5830,1,0,0,1.5179145336,7,0.4915,44.0000400000,4.90,11.0,4.5627
43,1,12,6,36,15519,7,1128,46,10,1918,6.2143,1,2,0,0.7550416000,7,0.7215,13.1189546585,2.40,14.0,2.1277
30,0,12,11,121,19500,7,1840,30,12,2112,6.6288,1,0,0,1.0949723721,7,0.6915,14.0000562668,3.75,7.5,2.9891
41,0,11,2,4,14545,7,1910,46,9,2144,3.8246,1,2,0,0.9421144000,3,0.7215,9.6450860000,2.57,5.0,2.5654
54,1,12,22,484,22897,7,980,54,15,1920,7.8125,1,1,0,1.7249428034,7,0.6915,17.3970451355,5.00,14.0,5.6122
31,1,12,10,100,14300,10,2317,41,9,2241,3.4806,1,1,0,1.0315461159,10,0.7215,7.7998890000,3.87,7.5,2.8054
